Â¼Òô,ÒµÎñ,Â¼Òô,±ê×¢
1042,map,english\dzdm\X5\X5-13-DZ\F015\F015_199.wav,i want to go back to office
1043,map,english\dzdm\X5\X5-13-DZ\F015\F015_200.wav,i want to go to office
1044,map,english\dzdm\X5\X5-13-DZ\F015\F015_201.wav,i want to go back to company
1045,map,english\dzdm\X5\X5-13-DZ\F015\F015_202.wav,i want to go to company
1046,map,english\dzdm\X5\X5-13-DZ\F015\F015_203.wav,take me home
1047,map,english\dzdm\X5\X5-13-DZ\F015\F015_204.wav,drive me to my home
1048,map,english\dzdm\X5\X5-13-DZ\F015\F015_205.wav,drive me to my office
1049,map,english\dzdm\X5\X5-13-DZ\F015\F015_206.wav,drive me to my company
1050,map,english\dzdm\X5\X5-13-DZ\F015\F015_207.wav,cancel
1051,map,english\dzdm\X5\X5-13-DZ\F015\F015_208.wav,stop navigating
1052,map,english\dzdm\X5\X5-13-DZ\F015\F015_209.wav,stop guiding
1053,map,english\dzdm\X5\X5-13-DZ\F015\F015_210.wav,stop navigation
1054,map,english\dzdm\X5\X5-13-DZ\F015\F015_211.wav,map update
1055,map,english\dzdm\X5\X5-13-DZ\F015\F015_212.wav,where is the nearest amusement park
1056,map,english\dzdm\X5\X5-13-DZ\F015\F015_213.wav,where is the nearest art gallery
1057,map,english\dzdm\X5\X5-13-DZ\F015\F015_214.wav,where is the nearest automobile
1058,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_001.wav,i need to check my agenda on september fifteenth
1059,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_002.wav,i need to check my schedule on august twentieth
1060,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_003.wav,i need to check agenda on july twenty fifth
1061,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_004.wav,i need to check schedule on june thirteenth
1062,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_005.wav,i need to check my agenda on may fourteenth
1063,scheduled_destination,english\dzdm\X5\X5-13-DZ\F016\F016_006.wav,i need to check my schedule on april twenty sixth
1064,news,english\dzdm\X5\X5-13-DZ\F016\F016_007.wav,i want to read some news about society news
1065,news,english\dzdm\X5\X5-13-DZ\F016\F016_008.wav,i want to read some news about politics news
1066,news,english\dzdm\X5\X5-13-DZ\F016\F016_009.wav,i want to read some news about entertainment news
1067,news,english\dzdm\X5\X5-13-DZ\F016\F016_010.wav,i want to read some news about technology news
1068,news,english\dzdm\X5\X5-13-DZ\F016\F016_011.wav,i want to view some news about comprehensive news
1069,news,english\dzdm\X5\X5-13-DZ\F016\F016_012.wav,i want to view some news about national news
1070,news,english\dzdm\X5\X5-13-DZ\F016\F016_013.wav,i want to view some news about international news
1071,news,english\dzdm\X5\X5-13-DZ\F016\F016_014.wav,i want to view some news about sports news
1072,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_015.wav,is there traffic along the route
1073,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_016.wav,is there a traffic jam along my route
1074,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_017.wav,the traffic
1075,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_018.wav,check the traffic around my home
1076,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_019.wav,check the traffic around home
1077,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_020.wav,check the traffic around my company
1078,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_021.wav,check the traffic around company
1079,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_022.wav,tell me the traffic around my home
1080,traffic,english\dzdm\X5\X5-13-DZ\F016\F016_023.wav,tell me the traffic around home
1081,help,english\dzdm\X5\X5-13-DZ\F016\F016_024.wav,could you tell me how to use the telephone
1082,help,english\dzdm\X5\X5-13-DZ\F016\F016_025.wav,could you tell me how to use the navigation
1083,help,english\dzdm\X5\X5-13-DZ\F016\F016_026.wav,could you tell me how to use the radio
1084,help,english\dzdm\X5\X5-13-DZ\F016\F016_027.wav,could you tell me how to use the music
1085,help,english\dzdm\X5\X5-13-DZ\F016\F016_028.wav,could you show me how to use the system
1086,help,english\dzdm\X5\X5-13-DZ\F016\F016_029.wav,could you show me how to use the traffic
1087,help,english\dzdm\X5\X5-13-DZ\F016\F016_030.wav,could you show me how to use the agenda
1088,help,english\dzdm\X5\X5-13-DZ\F016\F016_031.wav,could you show me how to use the voice
1089,help,english\dzdm\X5\X5-13-DZ\F016\F016_032.wav,could you show me how to use the function
1090,help,english\dzdm\X5\X5-13-DZ\F016\F016_033.wav,could you show me how to use the media
1091,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_034.wav,sure
1092,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_035.wav,confirm
1093,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_036.wav,yes
1094,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_037.wav,no
1095,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_038.wav,ok
1096,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_039.wav,dial the first number
1097,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_040.wav,dial the second number
1098,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_041.wav,dial the third number
1099,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_042.wav,dial the forth number
1100,cmd,english\dzdm\X5\X5-13-DZ\F016\F016_043.wav,dial the fifth number
1101,wether,english\dzdm\X5\X5-13-DZ\F016\F016_044.wav,i want to know the weather in shenyang july twenty fifth
1102,wether,english\dzdm\X5\X5-13-DZ\F016\F016_045.wav,can you tell me the weather in nanjing june thirteenth
1103,wether,english\dzdm\X5\X5-13-DZ\F016\F016_046.wav,can you tell me the weather in peking may fourteenth
1104,wether,english\dzdm\X5\X5-13-DZ\F016\F016_047.wav,can you tell me the weather in shanghai april twenty sixth
1105,wether,english\dzdm\X5\X5-13-DZ\F016\F016_048.wav,can you tell me the weather in beijing march eighteenth
1106,wether,english\dzdm\X5\X5-13-DZ\F016\F016_049.wav,can you tell me the weather in guangzhou february eleventh
1107,wether,english\dzdm\X5\X5-13-DZ\F016\F016_050.wav,what is the weather like in shenzhen now
1108,wether,english\dzdm\X5\X5-13-DZ\F016\F016_051.wav,what is the weather like in tianjin now
1109,wether,english\dzdm\X5\X5-13-DZ\F016\F016_052.wav,what is the weather like in chengdu now
1110,wether,english\dzdm\X5\X5-13-DZ\F016\F016_053.wav,what is the weather like in suzhou now
1111,wether,english\dzdm\X5\X5-13-DZ\F016\F016_054.wav,what is the weather like in wuhan now
1112,wether,english\dzdm\X5\X5-13-DZ\F016\F016_055.wav,what is the weather like in chongqing
1113,wether,english\dzdm\X5\X5-13-DZ\F016\F016_056.wav,what is the weather like in hangzhou
1114,wether,english\dzdm\X5\X5-13-DZ\F016\F016_057.wav,what is the weather like in shenyang
1115,wether,english\dzdm\X5\X5-13-DZ\F016\F016_058.wav,what is the weather like in nanjing
1116,wether,english\dzdm\X5\X5-13-DZ\F016\F016_059.wav,what is the weather like in peking
1117,wether,english\dzdm\X5\X5-13-DZ\F016\F016_060.wav,is it hot in tianjin
1118,wether,english\dzdm\X5\X5-13-DZ\F016\F016_061.wav,what is the high temperature in chengdu
1119,wether,english\dzdm\X5\X5-13-DZ\F016\F016_062.wav,what is the high temperature in suzhou
1120,radio,english\dzdm\X5\X5-13-DZ\F016\F016_063.wav,turn on the radio station am nine hundred and twenty seven
1121,radio,english\dzdm\X5\X5-13-DZ\F016\F016_064.wav,turn on the radio station am nine hundred and thirty six
1122,radio,english\dzdm\X5\X5-13-DZ\F016\F016_065.wav,turn on the radio station fm nine one point five
1123,radio,english\dzdm\X5\X5-13-DZ\F016\F016_066.wav,turn on the radio station fm eighty eight point five
1124,radio,english\dzdm\X5\X5-13-DZ\F016\F016_067.wav,turn on the radio station fm nine nine point six
1125,radio,english\dzdm\X5\X5-13-DZ\F016\F016_068.wav,turn on the radio station ninety one point eight
1126,radio,english\dzdm\X5\X5-13-DZ\F016\F016_069.wav,turn on the radio station eighty nine
1127,radio,english\dzdm\X5\X5-13-DZ\F016\F016_070.wav,am frequency nine hundred and ninety nine
1128,radio,english\dzdm\X5\X5-13-DZ\F016\F016_071.wav,am frequency one thousand and eight
1129,radio,english\dzdm\X5\X5-13-DZ\F016\F016_072.wav,am frequency one thousand and seventeen
1130,radio,english\dzdm\X5\X5-13-DZ\F016\F016_073.wav,am nine hundred and eighteen
1131,radio,english\dzdm\X5\X5-13-DZ\F016\F016_074.wav,am nine hundred and twenty seven
1132,radio,english\dzdm\X5\X5-13-DZ\F016\F016_075.wav,am nine hundred and thirty six
1133,radio,english\dzdm\X5\X5-13-DZ\F016\F016_076.wav,fm frequency nine hundred and ninety nine
1134,radio,english\dzdm\X5\X5-13-DZ\F016\F016_077.wav,fm frequency one thousand and eight
1135,radio,english\dzdm\X5\X5-13-DZ\F016\F016_078.wav,fm frequency one thousand and seventeen
1136,radio,english\dzdm\X5\X5-13-DZ\F016\F016_079.wav,fm nine hundred and eighteen
1137,radio,english\dzdm\X5\X5-13-DZ\F016\F016_080.wav,fm nine hundred and twenty seven
1138,radio,english\dzdm\X5\X5-13-DZ\F016\F016_081.wav,fm nine hundred and thirty six
1139,radio,english\dzdm\X5\X5-13-DZ\F016\F016_082.wav,turn the radio to am nine hundred and forty five
1140,radio,english\dzdm\X5\X5-13-DZ\F016\F016_083.wav,turn the radio to am nine hundred and fifty four
1141,meida,english\dzdm\X5\X5-13-DZ\F016\F016_084.wav,play rihanna's only girl in usb
1142,meida,english\dzdm\X5\X5-13-DZ\F016\F016_085.wav,play westlife's beautiful world in usb
1143,meida,english\dzdm\X5\X5-13-DZ\F016\F016_086.wav,play fools garden's lemon tree in usb
1144,meida,english\dzdm\X5\X5-13-DZ\F016\F016_087.wav,play ingrid michaelson's everybody
1145,meida,english\dzdm\X5\X5-13-DZ\F016\F016_088.wav,play michael jackson's you are not alone
1146,meida,english\dzdm\X5\X5-13-DZ\F016\F016_089.wav,play asher book's here with you
1147,meida,english\dzdm\X5\X5-13-DZ\F016\F016_090.wav,listen to the cranberries's dying in the sun in usb
1148,meida,english\dzdm\X5\X5-13-DZ\F016\F016_091.wav,listen to taylor swift's long live in usb
1149,meida,english\dzdm\X5\X5-13-DZ\F016\F016_092.wav,listen to lenka's blue skies in usb
1150,meida,english\dzdm\X5\X5-13-DZ\F016\F016_093.wav,listen to avril lavigne's goodbye
1151,meida,english\dzdm\X5\X5-13-DZ\F016\F016_094.wav,listen to nightwish's i want my tears back
1152,meida,english\dzdm\X5\X5-13-DZ\F016\F016_095.wav,listen to miley cyrus's wreckingball
1153,meida,english\dzdm\X5\X5-13-DZ\F016\F016_096.wav,play the song by rihanna in usb
1154,meida,english\dzdm\X5\X5-13-DZ\F016\F016_097.wav,play the song by chris medina in usb
1155,meida,english\dzdm\X5\X5-13-DZ\F016\F016_098.wav,play the song by bon jovi in usb
1156,meida,english\dzdm\X5\X5-13-DZ\F016\F016_100.wav,play the song by pianoboy
1157,meida,english\dzdm\X5\X5-13-DZ\F016\F016_101.wav,play the song by avril lavigne
1158,meida,english\dzdm\X5\X5-13-DZ\F016\F016_102.wav,listen to eason's songs in usb source
1159,meida,english\dzdm\X5\X5-13-DZ\F016\F016_103.wav,play the song big big world by emilia rydberg or not
1160,meida,english\dzdm\X5\X5-13-DZ\F016\F016_104.wav,play the song not afraid by eminem or not
1161,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_105.wav,please make a phone call to johnson's company one three one six nine zero seven four seven four six
1162,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_106.wav,make a phone call to hughes's residence o two one two three one o one two three four
1163,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_107.wav,make a phone call to howard's private o o eight five two two one two one two six eight eight
1164,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_108.wav,call o two nine nine six six six nine
1165,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_109.wav,call four o o eight one o five eight five eight
1166,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_110.wav,please dial the number one two o
1167,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_111.wav,please dial the number o five one two six seven seven o six six eight eight
1168,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_112.wav,call four o o eight eight nine eight one eight eight
1169,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_113.wav,call one six o
1170,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_114.wav,call four o o six six nine five five eight eight
1171,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_115.wav,call o two o eight three nine six one two three four
1172,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_116.wav,dial four o o six two nine six five eight eight
1173,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_117.wav,dial nine five five five nine
1174,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_118.wav,phone number is o one o five eight five eight five six nine one
1175,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_119.wav,phone number is one two three four five
1176,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_120.wav,could you help me call o two three six eight o six six eight o six
1177,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_121.wav,could you help me call four o o six o o six six five five
1178,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_122.wav,i would like you to help me dial four o o six six nine five five o one
1179,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_123.wav,i would like you to help me dial o one o six two nine one nine nine eight eight
1180,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_124.wav,please help me dial the number o four one five two three nine five six four five
1181,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_125.wav,please help me dial the number nine five five o eight
1182,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_126.wav,please help me dial o five five one six two two o six one one o
1183,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_127.wav,please help me dial nine five o seven one o nine five
1184,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_128.wav,please dial the number one o o o o
1185,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_129.wav,please dial the number nine five five one six
1186,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_130.wav,please dial the number four o o eight two o eight three eight eight
1187,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_131.wav,please dial four o o six nine nine eight nine nine eight
1188,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_132.wav,please dial o one o six five nine o five five six six
1189,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_133.wav,please help me call the number one three eight five two six six five nine one nine
1190,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_134.wav,please help me call the number one three nine five eight seven zero three four four five
1191,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_135.wav,please help me call one five zero three nine nine one four four nine five
1192,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_136.wav,please help me call one five one four nine nine three nine two one one
1193,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_137.wav,please call the number one eight eight two zero four seven nine seven two four
1194,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_138.wav,please call the number one three zero nine six three one six two four two
1195,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_139.wav,please call one three one four four three three nine three nine four
1196,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_140.wav,please call one three two three four three six zero three five eight
1197,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_141.wav,please help me ring the number one eight one five seven eight eight six six seven six
1198,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_142.wav,please help me ring the number one three four zero seven four eight six eight seven one
1199,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_143.wav,please help me ring one three five eight five five eight zero eight five nine
1200,telephone,english\dzdm\X5\X5-13-DZ\F016\F016_144.wav,please help me ring one three six five one four zero eight nine seven two
1201,map,english\dzdm\X5\X5-13-DZ\F016\F016_145.wav,where is the nearest bank
1202,map,english\dzdm\X5\X5-13-DZ\F016\F016_146.wav,where is the nearest bar
1203,map,english\dzdm\X5\X5-13-DZ\F016\F016_147.wav,where is the nearest book store
1204,map,english\dzdm\X5\X5-13-DZ\F016\F016_148.wav,where is the nearest gas station
1205,map,english\dzdm\X5\X5-13-DZ\F016\F016_149.wav,any building nearby
1206,map,english\dzdm\X5\X5-13-DZ\F016\F016_150.wav,any car rental nearby
1207,map,english\dzdm\X5\X5-13-DZ\F016\F016_151.wav,any chinese restaurant nearby
1208,map,english\dzdm\X5\X5-13-DZ\F016\F016_152.wav,any church nearby
1209,map,english\dzdm\X5\X5-13-DZ\F016\F016_153.wav,any cinema nearby
1210,map,english\dzdm\X5\X5-13-DZ\F016\F016_154.wav,any convenience store nearby
1211,map,english\dzdm\X5\X5-13-DZ\F016\F016_155.wav,any restaurant nearby
1212,map,english\dzdm\X5\X5-13-DZ\F016\F016_156.wav,help me locate the position of the nearest craft and gift shop
1213,map,english\dzdm\X5\X5-13-DZ\F016\F016_157.wav,help me locate the position of the nearest electronics store
1214,map,english\dzdm\X5\X5-13-DZ\F016\F016_158.wav,help me locate the position of the nearest fast food
1215,map,english\dzdm\X5\X5-13-DZ\F016\F016_159.wav,help me locate the position of the nearest food
1216,map,english\dzdm\X5\X5-13-DZ\F016\F016_160.wav,help me locate the position of the nearest gas station
1217,map,english\dzdm\X5\X5-13-DZ\F016\F016_161.wav,help me locate the position of the nearest general hospital
1218,map,english\dzdm\X5\X5-13-DZ\F016\F016_162.wav,help me locate the position of the nearest chinese restaurant
1219,map,english\dzdm\X5\X5-13-DZ\F016\F016_163.wav,help me locate the nearest chinese restaurant
1220,map,english\dzdm\X5\X5-13-DZ\F016\F016_164.wav,help me find the nearest chinese restaurant
1221,map,english\dzdm\X5\X5-13-DZ\F016\F016_165.wav,find the closest chinese restaurant
1222,map,english\dzdm\X5\X5-13-DZ\F016\F016_166.wav,tell me which is the nearest golf course
1223,map,english\dzdm\X5\X5-13-DZ\F016\F016_167.wav,tell me which is the nearest historical sites
1224,map,english\dzdm\X5\X5-13-DZ\F016\F016_168.wav,tell me which is the nearest hotel
1225,map,english\dzdm\X5\X5-13-DZ\F016\F016_169.wav,tell me which is the nearest jewelry
1226,map,english\dzdm\X5\X5-13-DZ\F016\F016_170.wav,tell me which is the nearest ktv
1227,map,english\dzdm\X5\X5-13-DZ\F016\F016_171.wav,tell me which is the nearest library
1228,map,english\dzdm\X5\X5-13-DZ\F016\F016_172.wav,the nearest local delicacy and popular restaurant
1229,map,english\dzdm\X5\X5-13-DZ\F016\F016_173.wav,the nearest lodging
1230,map,english\dzdm\X5\X5-13-DZ\F016\F016_174.wav,the nearest museum
1231,map,english\dzdm\X5\X5-13-DZ\F016\F016_175.wav,the nearest natural sand beach
1232,map,english\dzdm\X5\X5-13-DZ\F016\F016_176.wav,the nearest park
1233,map,english\dzdm\X5\X5-13-DZ\F016\F016_177.wav,the nearest postal office
1234,map,english\dzdm\X5\X5-13-DZ\F016\F016_178.wav,tell me which is the nearest parking lot
1235,map,english\dzdm\X5\X5-13-DZ\F016\F016_179.wav,tell me where is the nearest parking lot
1236,map,english\dzdm\X5\X5-13-DZ\F016\F016_180.wav,tell me where is the closest parking lot
1237,map,english\dzdm\X5\X5-13-DZ\F016\F016_181.wav,the nearest parking lot
1238,map,english\dzdm\X5\X5-13-DZ\F016\F016_182.wav,which parking lot nearby has a vacancy
1239,map,english\dzdm\X5\X5-13-DZ\F016\F016_183.wav,is there a vacancy in the nearest parking lot
1240,map,english\dzdm\X5\X5-13-DZ\F016\F016_184.wav,does the nearest parking lot have a spot
1241,map,english\dzdm\X5\X5-13-DZ\F016\F016_185.wav,is there a spot in the closest parking lot
1242,map,english\dzdm\X5\X5-13-DZ\F016\F016_186.wav,where is the public facilities
1243,map,english\dzdm\X5\X5-13-DZ\F016\F016_187.wav,where is the public security bureau
1244,map,english\dzdm\X5\X5-13-DZ\F016\F016_188.wav,where is the public toilets
1245,map,english\dzdm\X5\X5-13-DZ\F016\F016_189.wav,where is the quarantine station
1246,map,english\dzdm\X5\X5-13-DZ\F016\F016_190.wav,where is the l v
1247,map,english\dzdm\X5\X5-13-DZ\F016\F016_191.wav,where is the kfc
1248,map,english\dzdm\X5\X5-13-DZ\F016\F016_192.wav,atm nearby
1249,map,english\dzdm\X5\X5-13-DZ\F016\F016_193.wav,ems nearby
1250,map,english\dzdm\X5\X5-13-DZ\F016\F016_194.wav,star bucks nearby
1251,map,english\dzdm\X5\X5-13-DZ\F016\F016_195.wav,so ho nearby
1252,map,english\dzdm\X5\X5-13-DZ\F016\F016_196.wav,cctv nearby
1253,map,english\dzdm\X5\X5-13-DZ\F016\F016_197.wav,seven eleven nearby
1254,map,english\dzdm\X5\X5-13-DZ\F016\F016_198.wav,i want to find a brt near shanghai huangpu people's court
1255,map,english\dzdm\X5\X5-13-DZ\F016\F016_199.wav,i want to find a h t c near the supreme people's court judge international communication center
1256,map,english\dzdm\X5\X5-13-DZ\F016\F016_200.wav,i want to find a iphone near national express huangshan scenic area station
1257,map,english\dzdm\X5\X5-13-DZ\F016\F016_201.wav,i want to find a apple store near wuhan university south gate two
1258,map,english\dzdm\X5\X5-13-DZ\F016\F016_202.wav,i want to find a visa near vienna international hotel parking lot entrance and exit
1259,map,english\dzdm\X5\X5-13-DZ\F016\F016_203.wav,i want to find a w c near china testing institute of electronic products
1260,map,english\dzdm\X5\X5-13-DZ\F016\F016_204.wav,i want to find a starbucks near people's square
1261,map,english\dzdm\X5\X5-13-DZ\F016\F016_205.wav,i want to get some coffee near research institute of tv and electro acoustics
1262,map,english\dzdm\X5\X5-13-DZ\F016\F016_206.wav,i want to get some coffee near china electronics technology group corporation number three institute
1263,map,english\dzdm\X5\X5-13-DZ\F016\F016_207.wav,i want to get some coffee near post and telecommunication industry products quality supervision and inspection center
1264,map,english\dzdm\X5\X5-13-DZ\F016\F016_208.wav,i want to get some coffee near little angel art kindergarten
1265,map,english\dzdm\X5\X5-13-DZ\F016\F016_209.wav,i want to get some coffee near china welfare lottery
1266,map,english\dzdm\X5\X5-13-DZ\F016\F016_210.wav,i want to get some coffee near china sports lottery
1267,map,english\dzdm\X5\X5-13-DZ\F016\F016_211.wav,i want to grab some coffee near diligent dental
1268,map,english\dzdm\X5\X5-13-DZ\F016\F016_212.wav,i want to grab some coffee near old beijing tradition clay oven rolls
1269,map,english\dzdm\X5\X5-13-DZ\F016\F016_213.wav,i want to grab some coffee near china sports lottery
1270,map,english\dzdm\X5\X5-13-DZ\F016\F016_214.wav,i want to grab some coffee near china welfare lottery
1271,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_001.wav,i need to check agenda on march eighteenth
1272,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_002.wav,i need to check schedule on february eleventh
1273,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_003.wav,i need to check my agenda on january ninth
1274,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_004.wav,i need to check my schedule on labor day
1275,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_005.wav,i need to check agenda on christmas
1276,scheduled_destination,english\dzdm\X5\X5-14-DZ\F017\F017_006.wav,i need to check schedule on spring festival
1277,news,english\dzdm\X5\X5-14-DZ\F017\F017_007.wav,i want to view some news about economy news
1278,news,english\dzdm\X5\X5-14-DZ\F017\F017_008.wav,i want to view some news about social news
1279,news,english\dzdm\X5\X5-14-DZ\F017\F017_009.wav,i want to view some news about society news
1280,news,english\dzdm\X5\X5-14-DZ\F017\F017_010.wav,i want to view some news about politics news
1281,news,english\dzdm\X5\X5-14-DZ\F017\F017_011.wav,i want to view some news about entertainment news
1282,news,english\dzdm\X5\X5-14-DZ\F017\F017_012.wav,i want to view some news about technology news
1283,news,english\dzdm\X5\X5-14-DZ\F017\F017_013.wav,i want to check some news about comprehensive news
1284,news,english\dzdm\X5\X5-14-DZ\F017\F017_014.wav,i want to check some news about national news
1285,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_015.wav,tell me the traffic around my company
1286,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_016.wav,tell me the traffic around company
1287,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_017.wav,how is the traffic at the intersection of third middle alley and third middle alley
1288,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_018.wav,how is the traffic at the intersection of suzhou north alley and suzhou north alley
1289,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_019.wav,how is the traffic at the intersection of third middle alley and third middle alley
1290,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_020.wav,how is the traffic at the intersection of suzhou north alley and suzhou north alley in wuhan
1291,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_021.wav,how is the traffic at the intersection of south fifth road and middle street second alley
1292,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_022.wav,how is the traffic at the intersection of beijing road and third middle alley
1293,traffic,english\dzdm\X5\X5-14-DZ\F017\F017_023.wav,how is the traffic at the intersection of beijing ring road and tianjin north road east first alley
1294,help,english\dzdm\X5\X5-14-DZ\F017\F017_024.wav,could you show me how to use the telephone
1295,help,english\dzdm\X5\X5-14-DZ\F017\F017_025.wav,could you show me how to use the navigation
1296,help,english\dzdm\X5\X5-14-DZ\F017\F017_026.wav,could you show me how to use the radio
1297,help,english\dzdm\X5\X5-14-DZ\F017\F017_027.wav,how do i listen to music
1298,help,english\dzdm\X5\X5-14-DZ\F017\F017_028.wav,instructions for music function
1299,help,english\dzdm\X5\X5-14-DZ\F017\F017_029.wav,instructions about music function
1300,help,english\dzdm\X5\X5-14-DZ\F017\F017_030.wav,can you tell me how to use the music function
1301,help,english\dzdm\X5\X5-14-DZ\F017\F017_031.wav,can you show me how to use the music function
1302,help,english\dzdm\X5\X5-14-DZ\F017\F017_032.wav,could you tell me how to use the music function
1303,help,english\dzdm\X5\X5-14-DZ\F017\F017_033.wav,could you show me how to use the music function
1304,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_034.wav,dial the sixth number
1305,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_035.wav,dial the last number
1306,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_036.wav,call the first number
1307,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_037.wav,call the second number
1308,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_038.wav,call the third number
1309,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_039.wav,call the forth number
1310,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_040.wav,call the fifth number
1311,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_041.wav,call the sixth number
1312,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_042.wav,call the last number
1313,cmd,english\dzdm\X5\X5-14-DZ\F017\F017_043.wav,first line
1314,wether,english\dzdm\X5\X5-14-DZ\F017\F017_044.wav,what is the high temperature in wuhan
1315,wether,english\dzdm\X5\X5-14-DZ\F017\F017_045.wav,what is the high temperature in chongqing
1316,wether,english\dzdm\X5\X5-14-DZ\F017\F017_046.wav,what is the high temperature in hangzhou
1317,wether,english\dzdm\X5\X5-14-DZ\F017\F017_047.wav,what is the low temperature in shenyang
1318,wether,english\dzdm\X5\X5-14-DZ\F017\F017_048.wav,what is the low temperature in nanjing
1319,wether,english\dzdm\X5\X5-14-DZ\F017\F017_049.wav,what is the low temperature in peking
1320,wether,english\dzdm\X5\X5-14-DZ\F017\F017_050.wav,what is the low temperature in shanghai
1321,wether,english\dzdm\X5\X5-14-DZ\F017\F017_051.wav,what is the low temperature in beijing
1322,wether,english\dzdm\X5\X5-14-DZ\F017\F017_052.wav,what is the temperature in guangzhou now
1323,wether,english\dzdm\X5\X5-14-DZ\F017\F017_053.wav,what is the temperature in shenzhen now
1324,wether,english\dzdm\X5\X5-14-DZ\F017\F017_054.wav,what is the temperature in tianjin now
